timestamp,accX,accY,accZ,motion
1770,-0.213084,-7.101202,7.187394,clockwise
1780,-0.300472,-8.084022,9.139865,clockwise
1790,-0.361524,-8.367735,10.514136,clockwise
1800,-0.496797,-8.209718,10.711658,clockwise
1810,-0.762553,-7.742848,9.988609,clockwise
1820,-1.104924,-6.970718,9.375694,clockwise
1830,-1.452083,-5.924452,9.647436,clockwise
1840,-1.788469,-5.082890,10.619482,clockwise
1850,-2.055422,-4.837484,11.858481,clockwise
1860,-2.205060,-4.714183,13.049597,clockwise
1870,-2.248155,-4.168305,13.989321,clockwise
1880,-2.175132,-3.550601,14.723144,clockwise
1890,-2.021903,-3.400964,15.233109,clockwise
1900,-1.812411,-3.621230,15.482105,clockwise
1910,-1.587356,-3.915717,15.471332,clockwise
1920,-1.441309,-4.279635,15.357607,clockwise
1930,-1.423353,-4.458004,15.162479,clockwise
1940,-1.453280,-4.122815,14.870387,clockwise
1950,-1.550246,-3.236961,14.665683,clockwise
1960,-1.844732,-2.176329,14.314932,clockwise
1970,-2.157176,-0.824802,14.634558,clockwise
1980,-2.250550,0.413000,15.284584,clockwise
1990,-2.217031,1.051055,15.971720,clockwise
2000,-2.176329,1.454478,16.789339,clockwise
2010,-2.121263,1.774103,16.875530,clockwise
2020,-2.001553,2.129642,16.425421,clockwise
2030,-1.867477,2.436100,15.575480,clockwise
2040,-1.893813,2.639607,14.398729,clockwise
2050,-2.048239,2.979584,13.217191,clockwise
2060,-2.194286,3.520674,12.765883,clockwise
2070,-2.421735,4.006697,13.105860,clockwise
2080,-2.740164,4.497508,13.824121,clockwise
2090,-3.198653,5.667076,15.407885,clockwise
2100,-3.311181,6.260838,15.369577,clockwise
2110,-3.329138,6.937200,14.474147,clockwise
2120,-3.268085,7.313089,12.957419,clockwise
2130,-3.148375,7.088034,11.457452,clockwise
2140,-3.027468,6.687006,10.709264,clockwise
2150,-2.943671,6.549339,10.710462,clockwise
2160,-2.856283,6.762423,10.808623,clockwise
2170,-2.755726,7.109582,10.644621,clockwise
2180,-2.677915,7.108385,10.393229,clockwise
2190,-2.632425,6.804321,10.224439,clockwise
2200,-2.572570,6.688202,9.963470,clockwise
2210,-2.426523,6.757634,9.161413,clockwise
2220,-2.187103,6.702568,8.052897,clockwise
2230,-1.908179,6.390124,7.090428,clockwise
2240,-1.628057,5.804742,6.343437,clockwise
2250,-1.359907,5.196615,5.910087,clockwise
2260,-1.126472,4.958392,5.691018,clockwise
2270,-0.981623,5.097255,5.555745,clockwise
2280,-0.956484,5.275623,5.467160,clockwise
2290,-1.034295,5.361814,5.414487,clockwise
2300,-1.133654,5.412093,5.333084,clockwise
2310,-1.115698,5.598841,5.103241,clockwise
2320,-0.963666,5.917270,4.678270,clockwise
2330,-0.837971,5.993884,4.066552,clockwise
2340,-0.805649,5.492299,3.594894,clockwise
2350,-0.794875,4.505888,3.697845,clockwise
2360,-0.829591,3.560178,4.271256,clockwise
2370,-0.930147,3.011906,4.977545,clockwise
2380,-1.042675,2.811990,5.576096,clockwise
2390,-1.096544,2.744952,5.929241,clockwise
2400,-1.043872,2.713828,6.220136,clockwise
2410,-0.870292,2.724602,6.421249,clockwise
2420,-0.579397,2.384625,6.039374,clockwise
2430,-0.257377,1.261744,4.787206,clockwise
2440,0.003591,-0.439336,3.518279,clockwise
2450,0.217872,-2.037466,3.131616,clockwise
2460,0.344765,-2.789245,3.380613,clockwise
2470,0.247800,-2.570175,3.785233,clockwise
2480,-0.019154,-1.997961,4.174291,clockwise
2490,-0.270545,-1.576582,4.465186,clockwise
2500,-0.465672,-1.511938,4.582502,clockwise
2510,-0.572214,-2.123657,4.594473,clockwise
2520,-0.543484,-3.330335,4.696227,clockwise
2530,-0.429759,-4.896142,4.999093,clockwise
2540,-0.326809,-6.469133,5.228937,clockwise
2550,-0.332794,-7.410054,5.292383,clockwise
2560,-0.524330,-7.368156,5.882554,clockwise
2570,-0.817620,-6.434417,7.127539,clockwise
2580,-1.067814,-5.388151,8.452729,clockwise
2590,-1.212663,-4.859032,9.733627,clockwise
2600,-1.240196,-4.944026,11.063606,clockwise
2610,-1.200692,-5.686229,12.276269,clockwise
2620,-1.130063,-6.812701,13.141773,clockwise
2630,-1.003170,-7.447165,13.463793,clockwise
2640,-0.804452,-6.991069,13.474567,clockwise
2650,-0.658405,-5.801151,13.385982,clockwise
2660,-0.677559,-4.638766,13.207614,clockwise
2670,-0.852336,-3.788824,13.085509,clockwise
